Player,POS,Team,FantasyPoints,VOR,VOR Rank
Christian McCaffrey,RB,CAR,397.66,255.93,1
Dalvin Cook,RB,MIN,335.2,193.47,2
Alvin Kamara,RB,NO,318.33,176.6,3
Travis Kelce,TE,KC,311.92,156.6,4
Derrick Henry,RB,TEN,295.47,153.74,5
Davante Adams,WR,GB,343.95,150.17,6
Austin Ekeler,RB,LAC,285.63,143.9,7
Saquon Barkley,RB,NYG,281.99,140.26,8
Ezekiel Elliott,RB,DAL,278.62,136.89,9
Tyreek Hill,WR,KC,329.25,135.47,10
Aaron Jones,RB,GB,276.66,134.93,11
Jonathan Taylor,RB,IND,268.79,127.06,12
Joe Mixon,RB,CIN,265.35,123.62,13
Stefon Diggs,WR,BUF,316.21,122.43,14
Najee Harris,RB,PIT,261.4,119.67,15
DeAndre Hopkins,WR,ARI,312.57,118.79,16
Nick Chubb,RB,CLE,257.09,115.36,17
Antonio Gibson,RB,WAS,249.57,107.84,18
D'Andre Swift,RB,DET,245.29,103.56,19
Calvin Ridley,WR,ATL,296.43,102.65,20
Clyde Edwards-Helaire,RB,KC,242.83,101.1,21
Darren Waller,TE,LV,255.57,100.25,22
George Kittle,TE,SF,255.12,99.8,23
Chris Carson,RB,SEA,235.61,93.88,24
David Montgomery,RB,CHI,229.74,88.01,25
Keenan Allen,WR,LAC,279.86,86.08,26
Justin Jefferson,WR,MIN,278.61,84.83,27
Miles Sanders,RB,PHI,225.61,83.88,28
Gus Edwards,RB,BAL,223.74,82.01,29
D.K. Metcalf,WR,SEA,273.99,80.21,30
Josh Jacobs,RB,LV,220.87,79.14,31
Myles Gaskin,RB,MIA,219.3,77.57,32
A.J. Brown,WR,TEN,269.08,75.3,33
Josh Allen,QB,BUF,378.194,74.536,34
Patrick Mahomes II,QB,KC,376.032,72.374,35
Mike Davis,RB,ATL,212.95,71.22,36
Darrell Henderson,RB,LAR,212.59,70.86,37
Allen Robinson II,WR,CHI,261.99,68.21,38
Chase Edmonds,RB,ARI,208.08,66.35,39
James Robinson,RB,JAC,207.08,65.35,40
Robert Woods,WR,LAR,257.24,63.46,41
Terry McLaurin,WR,WAS,254.53,60.75,42
Amari Cooper,WR,DAL,252.96,59.18,43
Kyler Murray,QB,ARI,357.608,53.95,44
Tyler Lockett,WR,SEA,246.19,52.41,45
Cooper Kupp,WR,LAR,244,50.22,46
Mike Evans,WR,TB,242.5,48.72,47
CeeDee Lamb,WR,DAL,240.66,46.88,48
Mark Andrews,TE,BAL,201.58,46.26,49
Lamar Jackson,QB,BAL,349.336,45.678,50
Adam Thielen,WR,MIN,238.65,44.87,51
Kareem Hunt,RB,CLE,184.8,43.07,52
D.J. Moore,WR,CAR,236.49,42.71,53
Julio Jones,WR,TEN,232.56,38.78,54
Chris Godwin,WR,TB,232.48,38.7,55
Dak Prescott,QB,DAL,340.982,37.324,56
Diontae Johnson,WR,PIT,230.58,36.8,57
T.J. Hockenson,TE,DET,188.57,33.25,58
Kyle Pitts,TE,ATL,188.27,32.95,59
Aaron Rodgers,QB,GB,334.522,30.864,60
Russell Wilson,QB,SEA,333.01,29.352,61
Tee Higgins,WR,CIN,223.06,29.28,62
James Robinson,RB,JAC,168.89,27.16,63
ju,QB,LAC,329.746,26.088,64
Courtland Sutton,WR,DEN,219.37,25.59,65
JuJu Smith-Schuster,WR,PIT,218.12,24.34,66
Javonte Williams,RB,DEN,165.29,23.56,67
Kenny Golladay,WR,NYG,215.09,21.31,68
Odell Beckham Jr.,WR,CLE,214.98,21.2,69
Ja'Marr Chase,WR,CIN,214.52,20.74,70
Raheem Mostert,RB,SF,162.44,20.71,71
Tom Brady,QB,TB,323.346,19.688,72
David Johnson,RB,HOU,161.02,19.29,73
Brandon Aiyuk,WR,SF,212.46,18.68,74
Brandin Cooks,WR,HOU,211.35,17.57,75
Robby Anderson,WR,CAR,210.96,17.18,76
Leonard Fournette,RB,TB,157.83,16.1,77
D.J. Chark Jr.,WR,JAC,208.51,14.73,78
Tyler Boyd,WR,CIN,206.48,12.7,79
Chase Claypool,WR,PIT,206.07,12.29,80
Damien Harris,RB,NE,153.25,11.52,81
Dallas Goedert,TE,PHI,164.04,8.72,82
Deebo Samuel,WR,SF,201.07,7.29,83
Tyler Higbee,TE,LAR,160.16,4.84,84
Zack Moss,RB,BUF,146.36,4.63,85
Michael Carter,RB,NYJ,146.11,4.38,86
Kenyan Drake,RB,LV,145.66,3.93,87
Noah Fant,TE,DEN,158.81,3.49,88
